forme incorrecte,cas,forme correcte,cas correct,FR,IT,NL,UK,GE
ulicza,Nom,ulicą,Ins,2,0,7,2,1
ulisa,Nom,ulicą,Ins,1,0,0,1,0
ulica,Nom,ulicą,Ins,10,6,5,5,4
ulice,Acc,ulicą,Ins,1,1,0,0,0
ulika,Nom,ulicą,Ins,2,0,0,1,0
uli,?,ulicą,Ins,0,1,0,0,0
ulicę,Acc,ulicą,Ins,0,1,0,0,0
ulidze,Acc,ulicą,Ins,0,1,0,0,0
ulicja,Nom,ulicą,Ins,0,0,1,2,0
ulicia,Nom,ulicą,Ins,0,0,1,0,0
luczi,?,ulicą,Ins,0,0,1,0,0
julisa,Nom,ulicą,Ins,0,0,0,1,0
uliszia,Nom,ulicą,Ins,0,0,0,1,0
alica,Nom,ulicą,Ins,0,0,0,1,0
elicha,Nom,ulicą,Ins,0,0,0,1,0
alika,Nom,ulicą,Ins,0,0,0,1,0
ulicy,Gen,ulicą,Ins,0,0,0,0,1
niska,Nom,niską,Ins,12,3,13,12,4
niszka,Nom,niską,Ins,2,1,1,0,0
nyska,Nom,niską,Ins,0,0,0,1,0
niskie,Loc,niską,Ins,0,0,0,0,1
ulicza,Nom,ulicę,Acc,2,0,5,2,3
ulisa,Nom,ulicę,Acc,1,0,0,2,0
ulica,Nom,ulicę,Acc,10,7,8,3,3
ulika,Nom,ulicę,Acc,2,0,0,0,0
ulisza,Nom,ulicę,Acc,1,0,0,0,0
ulicon,Ins,ulicę,Acc,0,4,0,0,0
ul,,ulicę,Acc,0,1,0,0,0
uli,?,ulicę,Acc,0,1,0,0,0
uliczia,Nom,ulicę,Acc,0,0,2,0,0
ulicia,Nom,ulicę,Acc,0,0,1,0,0
ulicja,Nom,ulicę,Acc,0,0,0,2,0
ulisja,Nom,ulicę,Acc,0,0,0,2,0
ulicz,?,ulicę,Acc,0,0,0,1,0
julisa,Nom,ulicę,Acc,0,0,0,1,0
ulipia,Nom,ulicę,Acc,0,0,0,1,0
alika,Nom,ulicę,Acc,0,0,0,1,0
julius,Nom,juliusza,Gen,1,0,0,0,0
juliuszko,?,juliusza,Gen,0,1,0,0,0
dżulius,Nom,juliusza,Gen,0,0,1,0,0
juliusz,Nom,juliusza,Gen,0,0,1,0,0
juliżasi,?,juliusza,Gen,0,0,1,0,0
żulianizi,?,juliusza,Gen,0,0,0,1,0
żulius,Nom,juliusza,Gen,0,0,0,1,0
juliske,?,juliusza,Gen,0,0,0,1,0
julisze,?,juliusza,Gen,0,0,0,0,1
juliuse,?,juliusza,Gen,0,0,0,0,1
dobra,Nom,dobrą,Ins,12,8,11,10,5
dobry,Nom,dobrą,Ins,1,0,0,0,0
dobre,Nom,dobrą,Ins,1,0,0,2,0
dobru,?,dobrą,Ins,0,1,0,0,0
dorba,Nom,dobrą,Ins,0,0,0,1,0
kowalski,Nom,kowalskich,Gen,1,4,5,3,3
kowalska,Nom,kowalskich,Gen,1,0,0,0,1
skowalski,Nom,kowalskich,Gen,1,1,0,0,0
kowaski,Nom,kowalskich,Gen,0,2,0,0,0
kowal,Nom,kowalskich,Gen,0,1,0,0,0
ospital,Nom,szpitala,Gen,1,1,0,0,0
spita,Nom,szpitala,Gen,1,0,0,0,0
oszpital,Nom,szpitala,Gen,1,1,0,0,0
spital,Nom,szpitala,Gen,1,1,0,3,0
szpitalu,Loc,szpitala,Gen,1,5,1,0,0
szpital,Nom,szpitala,Gen,0,1,2,2,0
szpitalem,Ins,szpitala,Gen,0,1,0,0,1
spitalu,Loc,szpitala,Gen,0,1,0,1,1
spitalem,Ins,szpitala,Gen,0,2,0,0,0
szpitale,Nom,szpitala,Gen,0,1,0,0,0
zapital,Nom,szpitala,Gen,0,0,0,1,0
spytal,Nom,szpitala,Gen,0,0,0,1,0
restorancja,Nom,restauracji,Gen,1,0,0,0,0
restoraucje,Acc,restauracji,Gen,1,0,0,0,0
restoracja,Nom,restauracji,Gen,2,0,5,2,4
restoraczje,Acc,restauracji,Gen,1,0,0,0,0
restauracja,Nom,restauracji,Gen,1,4,0,0,0
restaurasja,Nom,restauracji,Gen,0,1,0,0,0
restaracja,Nom,restauracji,Gen,0,0,1,0,1
restoranczja,Nom,restauracji,Gen,0,0,1,0,0
restoraczja,Nom,restauracji,Gen,0,0,1,0,0
restrantaże,Acc,restauracji,Gen,0,0,0,1,0
restoroka,Nom,restauracji,Gen,0,0,0,1,0
restraca,Nom,restauracji,Gen,0,0,0,1,0
restoranca,Nom,restauracji,Gen,0,0,0,1,0
restracje,Acc,restauracji,Gen,0,0,0,1,0
restoracje,Acc,restauracji,Gen,0,0,0,0,1
resorancja,Nom,restauracji,Gen,0,0,0,0,1
restorac,?,restauracji,Gen,0,0,0,0,1
resturacja,Nom,restauracji,Gen,0,0,0,0,1
teatr,Nom,teatru,Gen,2,4,7,1,1
restorauk,?,teatru,Gen,1,0,0,0,0
teatry,Nom,teatru,Gen,1,0,0,0,0
tiatr,Nom,teatru,Gen,1,0,0,0,0
teatra,?,teatru,Gen,0,1,0,0,0
teatsz,Nom,teatru,Gen,0,1,0,0,0
teatszem,Ins,teatru,Gen,0,1,0,0,0
teatre,Loc,teatru,Gen,0,3,0,4,3
teat,Nom,teatru,Gen,0,0,0,1,1
tieat,Nom,teatru,Gen,0,0,0,1,0
teaczre,Loc,teatru,Gen,0,0,0,2,0
teaczra,?,teatru,Gen,0,0,0,1,0
tieatr,Nom,teatru,Gen,0,0,0,1,0
teatrem,Ins,teatru,Gen,0,0,0,0,1
tieatre,Loc,teatru,Gen,0,0,0,0,1
skola,Nom,szkoły,Gen,2,1,2,1,2
skała,Nom,szkoły,Gen,1,0,0,0,0
skuole,Loc,szkoły,Gen,1,0,0,0,0
szkola,Nom,szkoły,Gen,0,1,4,4,1
szkuła,Nom,szkoły,Gen,0,1,0,0,0
skołe,Acc,szkoły,Gen,0,1,1,0,0
skole,Loc,szkoły,Gen,0,1,0,0,5
szkoła,Nom,szkoły,Gen,0,0,3,1,1
zskola,Nom,szkoły,Gen,0,0,0,1,0
skoła,Nom,szkoły,Gen,0,0,0,1,1
szkole,Loc,szkoły,Gen,0,0,0,1,0
szkula,Nom,szkoły,Gen,0,0,0,0,1
szkolu,?,szkoły,Gen,0,0,0,0,1
juwersytet,Nom,uniwersytetu,Gen,1,0,0,0,0
uniwersytet,Nom,uniwersytetu,Gen,1,0,3,1,0
uniwersitet,Nom,uniwersytetu,Gen,1,1,1,0,5
uniwersiteć,Nom,uniwersytetu,Gen,1,0,0,0,0
uniwersyteczem,Ins,uniwersytetu,Gen,0,1,0,0,0
uniwersytecze,Loc,uniwersytetu,Gen,0,1,0,0,0
uniweszitet,Nom,uniwersytetu,Gen,0,0,1,0,0
uniwerszitet,Nom,uniwersytetu,Gen,0,0,1,0,0
juniwersitet,Nom,uniwersytetu,Gen,0,0,1,0,0
juniwersitecz,Nom,uniwersytetu,Gen,0,0,0,1,0
uniwersitecia,?,uniwersytetu,Gen,0,0,0,0,1
uniwezitet,Nom,uniwersytetu,Gen,0,0,0,0,1
uniwersitete,Loc,uniwersytetu,Gen,0,0,0,0,1
uniwezite,Nom,uniwersytetu,Gen,0,0,0,0,1
uniwerzitet,Nom,uniwersytetu,Gen,0,0,0,0,1
do,?,dom,Nom,1,0,0,0,0
domu,Gen,dom,Nom,0,2,0,0,0
doma,?,dom,Nom,0,0,0,1,0
szpitalu,Loc,szpitalem,Ins,4,2,1,0,1
oszpital,Nom,szpitalem,Ins,1,0,0,0,0
hospitalu,Loc,szpitalem,Ins,1,0,0,0,0
oszpitalu,Loc,szpitalem,Ins,0,2,0,0,0
szpitale,Nom,szpitalem,Ins,0,1,0,0,1
szpital,Nom,szpitalem,Ins,0,1,4,3,1
spitala,Gen,szpitalem,Ins,0,1,0,0,0
hospital,Nom,szpitalem,Ins,0,0,2,0,0
spital,Nom,szpitalem,Ins,0,0,2,3,1
ospital,Nom,szpitalem,Ins,0,0,1,0,1
zospitalu,Loc,szpitalem,Ins,0,0,1,0,0
spitae,?,szpitalem,Ins,0,0,0,0,1
spitalu,Loc,szpitalem,Ins,0,0,0,0,1
szpita,Nom,szpitalem,Ins,0,0,0,0,1
spitale,Nom,szpitalem,Ins,0,0,0,0,1
dobrej,Loc,dobra,Nom,0,0,0,0,1
ulice,Acc,ulicy,Loc,1,0,0,0,0
ulic,?,ulicy,Loc,1,0,0,0,0
ulica,Nom,ulicy,Loc,0,4,1,0,4
ulidza,Nom,ulicy,Loc,0,1,0,0,0
ulicza,Nom,ulicy,Loc,0,0,3,0,1
dobre,Nom,dobrej,Loc,3,2,0,0,0
dobry,Nom,dobrej,Loc,0,1,0,0,0
dobra,Nom,dobrej,Loc,0,3,4,0,5
sklep,Nom,sklepu,Gen,3,5,3,5,2
sklepem,Ins,sklepu,Gen,1,1,0,0,0
sklept,Nom,sklepu,Gen,2,0,0,0,0
sklepts,Nom,sklepu,Gen,1,0,0,0,0
szklepe,?,sklepu,Gen,0,1,0,0,0
sklepe,?,sklepu,Gen,0,1,0,0,0
szklep,Nom,sklepu,Gen,0,1,6,0,0
sklepd,Nom,sklepu,Gen,0,1,0,0,0
szlep,Nom,sklepu,Gen,0,0,0,1,0
skelp,Nom,sklepu,Gen,0,0,0,1,0
sjowackie,Nom,słowackiego,Gen,0,0,0,0,1
skret,Nom,sklepem,Ins,1,0,0,0,0
sklepu,Gen,sklepem,Ins,4,0,0,0,8
sklebe,?,sklepem,Ins,1,0,0,0,0
sklept,Nom,sklepem,Ins,1,0,0,0,0
sklepts,Nom,sklepem,Ins,1,0,0,0,0
szklepe,?,sklepem,Ins,0,2,1,2,0
sklep,Nom,sklepem,Ins,0,1,7,2,5
szklep,Nom,sklepem,Ins,0,0,6,0,0
ulisze,Acc,ulica,Nom,1,0,0,0,0
ulice,Acc,ulica,Nom,0,1,1,0,0
jul,?,ulica,Nom,0,0,0,0,1
uli,?,ulica,Nom,0,0,0,0,1
ulic,?,ulica,Nom,0,0,0,0,1
park,Nom,parku,Gen,1,1,2,1,1
nume,?,numer,Nom,0,0,1,0,3
teatra,?,teatrem,Ins,1,0,0,0,0
teatr,Nom,teatrem,Ins,0,1,1,0,0
szyżowani,Nom,skrzyżowania,Gen,0,1,0,0,0
szyżowanie,Nom,skrzyżowania,Gen,0,0,0,0,1
szyżowanie,Nom,skrzyżowaniu,Loc,0,1,0,0,0
biblioteke,Acc,biblioteki,Gen,0,1,0,0,0
biblioteka,Nom,biblioteki,Gen,0,0,1,0,3
bibliotek,?,biblioteki,Gen,0,0,0,1,0
biblioteku,?,biblioteki,Gen,0,0,0,0,2
krzyżowanie,Nom,skrzyżowaniem,Ins,0,1,0,0,0
szyżowanie,Nom,skrzyżowaniem,Ins,0,0,0,0,1
rzeżowanie,Nom,skrzyżowaniem,Ins,0,0,0,0,1
zielon,?,zielony,Nom,0,0,1,0,0
staczja,Nom,stacji,Loc,0,0,2,0,0
lewe,Nom,lewej,Loc,0,0,1,0,0
kratika,Nom,krótką,Ins,0,0,0,1,0
hotelu,Loc,hotelem,Ins,0,0,0,0,1
teatre,Loc,teatr,Nom,0,0,0,0,1
restauracja,Nom,restauracją,Ins,0,0,0,0,1
biblio,?,biblioteką,Ins,0,0,0,0,1
parku,Gen,parkiem,Ins,0,0,0,0,1
