pays,apprenant,mot (interlangue),transcription automatique,transcription manuelle
FR,1120,ulisa,tak po prostu ulica niska obok szpitala po prostu skroczyć na na prawo pieśń ulica skręcić na prawo czy na lewo skręcić na prawo ulica juliesa i pieśń po prostu obok restauracja obok teatr obok szkoła uniwersytetowa i skroczyć na lewo ulica dobra pieśń po prostu i skroczyć na lewo dobra cztery do do do do do ulica dobra cztery jest tak muszę skręcić na lewo i ulica dobra cztery jest gdzie się znajduje jest na lewo na lewo,tak prosto ulisa niska obok ospital prosto i skroczie na na grawo piese ulisa skrecić na prawo ulisa żuliesa i pies pro proto proto ubak ubok restorancja ubok teatr i ubok skola juwersytet i skroczie na lewo ulisa dobra pies prosto i skroczie na lewo dobra dobra czery do es na dona la dona jest na lewo
FR,1120,ospital,,
FR,1120,skroczie,,
FR,1120,grawo,,
FR,1120,piese,,
FR,1120,ulisa,,
FR,1120,skrecić,,
FR,1120,ulisa,,
FR,1120,żuliesa,,
FR,1120,ubak,,
FR,1120,ubok,,
FR,1120,restorancja,,
FR,1120,ubok,,
FR,1120,ubok,,
FR,1120,skola,,
FR,1120,juwersytet,,
FR,1120,skroczie,,
FR,1120,ulisa,,
FR,1120,skroczie,,
FR,1120,czery,,
FR,1104,niskom,proszę iść prosto ulicę miską i za szpitalu proszę skręcić w prawo ulicę juliuska słowackiego a potem proszę iść prosto prosto obok teatru obok szkoły i za sklepem proszę iść w lewo ulicę dobrą i tutaj znajdujecie dobre 4 na lewo,proszę idź prosto ulice niskom i za szpitalu proszę skrencić w prawo ulice juliuska słowackiego i a potem proszę idź prosto prosto obok teatru obot szkoły i za sklepem proszę idź w lewo ulice dobron i tutaj znaduje cię dobre cztery na lewo
FR,1104,skrencić,,
FR,1104,juliuska,,
FR,1104,obot,,
FR,1104,dobron,,
FR,1104,znaduje,,
FR,1110,niszka,tak tak uwaga uwaga proszę iść prosto to jest ulica niżka to jest to jest proszę iść prosto za hospitale stręczysz w prawo to jest ulica juliusza słowackiego proszę iść prosto prosto bądź w restauracji bądź w sklepie bądź w teatrze prosto prosto i za sklepem proszę proszę skręcić w prawo i dom znajduje się w numer 4 ulicy dobrej,tak tak waga waga proszę idź prosto to jest ulica niszka to jest to to proszę iść prosto za ospitalem szkrencisz w prawo to jest ulica julius juliusza słowackiego proszę idź prosto prosto obok restorauk restoraucje obok skała obok teatr prosto prosto i za sklepem proszę ploszę skrencisz w lewo i dom znazduje się numer sztery ulice dobre
FR,1110,ospitalem,,
FR,1110,szkrencisz,,
FR,1110,julius,,
FR,1110,restorauk,,
FR,1110,restoraucje,,
FR,1110,ploszę,,
FR,1110,skrencisz,,
FR,1110,znazduje,,
FR,1110,sztery,,
FR,1119,skrencić,idź prosto na ulicę niska obok szpitala skręcić w prawo skręcić w prawo ok na ulicę jóliuska słowackiego idź prosto prosto prosto obok restauracja teatr szkoły uniwersytet obok sklepu skręcić w lewo na ulicę dobrą dom kowalskiego jest na lewo,idź prosto na ulica niska obok spita szpitalem skrencić w prosto na w prawo prawo na ulica juliuska słowackiego idź prosto prosto prosto obok restora restoracja teatr skoly uniwersytet obok sklep sklep skrencić w lewo na ulica dobry dom kowalskiego jest na lewo
FR,1119,juliuska,,
FR,1119,restora,,
FR,1119,restoracja,,
FR,1119,skoly,,
FR,1119,skrencić,,
FR,1108,szken,dobrej 4 proszę iść prosto ulica niska prosto prosto szkęcisz na prawo ulica juliusza słowackiego dobrze ulica juliusza słowackiego dobrze idź prosto obok szkoły obok uniwersytetu proszę iść prosto i ulica dobra skręcisz na lewo znajdujesz się dom kowalska,dobrej cztery proszę idź prosto ulika niska prosto prosto szken szken szkensiś na prawo ulica dżoliesa slołackiego idź prosto obok skola obok uniwersitet proszę idź prosto i ulika dobra skręcisz na lewo najduje się dom kowalska
FR,1108,szken,,
FR,1108,szkensiś,,
FR,1108,dżoliesa,,
FR,1108,slołackiego,,
FR,1108,skola,,
FR,1108,uniwersitet,,
FR,1108,najduje,,
FR,1103,ulicza,idź prosto za ulicą niską i za hospitale skręcić na prawo za ulicą żuliuska słowackiego idź prosto prosto i za sklep skręcić na lewo za ulicą dobrej 4,idź prosto za ulicza niska i za ospitalem skręcić na prawo za ulisza żuliuska slowakiego iść prosto prosto i za skret skręcić na lewo za ulicza dobra numer sztery
FR,1103,ospitalem,,
FR,1103,ulisza,,
FR,1103,żuliuska,,
FR,1103,slowakiego,,
FR,1103,skret,,
FR,1103,ulicza,,
FR,1103,sztery,,
FR,1116,skre,skręcisz prawo do szpitala skręcisz ulicę juliuska skołaskiego proszę iść prosto obok teatru szkole a potem skręcisz w lewo za sklepem skręcisz w lewo ulicę dobrej skręcisz w lewo 4 ulicy dobrej skręcisz w lewo 4 ulicy dobrej skręcisz w lewo 4 ulicy dobrej znajdujesz się w domu skołalskim,skre skrencisz a prawo zły szpitalu skrencisz ulicze ju juliuska skołaskiego proszę idź prosto prosto obok teatru skuole a potem skręcisz a skrencisz w lewo złe sklepu spren skrencisz w lewo ulicze dobre skrencisz w lewo scztery ulisze dobre znaduje sie dom skowalski
FR,1116,skrencisz,,
FR,1116,skrencisz,,
FR,1116,ulicze,,
FR,1116,juliuska,,
FR,1116,skołaskiego,,
FR,1116,skuole,,
FR,1116,skrencisz,,
FR,1116,spren,,
FR,1116,skrencisz,,
FR,1116,ulicze,,
FR,1116,skrencisz,,
FR,1116,scztery,,
FR,1116,ulisze,,
FR,1116,znaduje,,
FR,1116,sie,,
FR,1116,skowalski,,
FR,1113,poszę,proszę iść prosto na ulicę niska tak za szpitalem skręcisz prawo na ulicę józefowskiego proszę iść prosto obok restauracji obok teatru i obok sklepu za sklepem za sklepem skręcisz w lewo na ulicę dobra i znajdujesz się na lewo tak na lewo tak na ulicy dobrej 4 na lewo numer 4 ulica dobra,poszę idź prosto na ulica niska za szpitalem skrencisz prawo na ulica dżulieska skowalskiego poszę idź posto obok restoraczje obok teatry i obok sklepem za sklebe za sklepem zna skrencisz w ljewo na ulica dobra i znaduje się na lewo nie tak numer cztery ulica dobra
FR,1113,skrencisz,,
FR,1113,dżulieska,,
FR,1113,skowalskiego,,
FR,1113,poszę,,
FR,1113,posto,,
FR,1113,restoraczje,,
FR,1113,sklebe,,
FR,1113,skrencisz,,
FR,1113,ljewo,,
FR,1113,znaduje,,
FR,1118,niszka,proszę iść prosto ulicę niżka na szpital obok szpital proszę skręcić prawo ulicę juleska słowackiego proszę iść prosto ulicę juleska słowackiego na sklep proszę skręcić na lewo ulicę dobra proszę iść prosto ulicę dobra obok sklep i obok park znajdujesz się na lewo ulicę dobra nr 3,proszę iść prosto ulika niszka zna oszpital obok oszpital proszę skreciś prawo ulika juleska słowaskiego proszę iś prosto ulika julieska słowaskiego zna sklept proszę skrenciśt na lewo ulika dobra hasta proszę iść prosto ulika dobra obok sklept i obok park znaduje sie na lewo ulika dobra numero czery
FR,1118,oszpital,,
FR,1118,oszpital,,
FR,1118,skreciś,,
FR,1118,juleska,,
FR,1118,słowaskiego,,
FR,1118,julieska,,
FR,1118,słowaskiego,,
FR,1118,sklept,,
FR,1118,skrenciśt,,
FR,1118,sklept,,
FR,1118,znaduje,,
FR,1118,sie,,
FR,1118,numero,,
FR,1118,czery,,
FR,1117,spital,jestem blisko ulicy niska i mieszkam w szpitalu więc nie jestem w porządku przeszłam proces i proces proces proces i obok sklepu na lewo na ulicę dobrą i na lewo jest nr 4,iszcze prosto na ulica niska i obok spital cienci na prawo proszę iścz proce i proste proste proste i obok sklept cz czrenczisz na lewo a na ulica dobra i an na lewo jest numer cztery
FR,1117,cienci,,
FR,1117,iścz,,
FR,1117,sklept,,
FR,1117,czrenczisz,,
FR,1101,jestam,jestem szczęśliwa idź prosto na ulicę niską obok szpitala stręcz prawo wyprawo na ulicę huliuckiego-skłowienkiego idź prosto prosto prosto obok sklepu stręcz w lewo i znajdziesz dom na ulicy dobrej nr 4,jestam stanczy idź presto na ulica niska obok szpitalu strencić w prawo wy prawo na ulica huliucka sklowiańkiego idź prosto prosto prosto na obok sklep stręcić w lewo i znaduje się dom na ulic ulicy dobre numer cztery
FR,1101,stanczy,,
FR,1101,strencić,,
FR,1101,huliucka,,
FR,1101,sklowiańkiego,,
FR,1101,stręcić,,
FR,1101,znaduje,,
FR,1115,hospitalu,tak proszę iść prosto ulica niska za ospitalem skręcisz na prawo proszę iść prosto ulica żuliuska słowackiego obok ospitalu obok restauracja obok teatru obok uniwersytetu obok sklepu za sklep proszę skręcisz na lewo ulica dobra proszę iść prosto i znajdujecie numer czery,tak proszę iść pro proszę idź prosto ulica niska za hospitalu skręcisz na prawo proszę idź prosto ulica żu żuliuska so sowaskiega obuk ospitalu obok restau restauracja obut teatru obut uniwersiteć obuk sklepts za sklepts proszę skrencisz na lewo ulica dobra proszę iś prosto i naduje cie numer czery numer czery
FR,1115,żu,,
FR,1115,żuliuska,,
FR,1115,sowaskiega,,
FR,1115,obuk,,
FR,1115,ospitalu,,
FR,1115,restau,,
FR,1115,obut,,
FR,1115,obut,,
FR,1115,uniwersiteć,,
FR,1115,obuk,,
FR,1115,sklepts,,
FR,1115,sklepts,,
FR,1115,skrencisz,,
FR,1115,naduje,,
FR,1115,czery,,
FR,1115,czery,,
FR,1112,juliuska,proszę iść prosto na ulicę niską za szpitalem skręcić w prawo na ulicę juliuska słowackiego proszę iść prosto za sklepem skręcić w lewo na ulicę dobrej i dom jest na lewo na lewo tak na lewo,proszę iść prosto na ulica niska za szpitalu skręcić w prawo na ulica juliuska slowackiego proszę iść prosto za sklepu skręcić w lewo na ulica dobra i jest i dom jest na lewo na lewo
FR,1112,slowackiego,,
FR,1106,żuliusa,może iść prosto na ulicę niską ze szpitala skręcić na prawo na ulicę juliusza skłodowskiego iść prosto prosto prosto prosto obok restauracja obok teatr obok sklep tak ze sklepu skręcić na lewo na ulicę dobrej i nr 4 jest na lewo,może iść prosto na ulica niska za szpitalu skręć na prawo na ulica żuliusa sk skowalskiego idź prosto prosto prosto prosto obok restoracja obok tiatr obok sklep za sklepu skrenć na lewo ulica dobra i numier cztery jest na lewo
FR,1106,sk,,
FR,1106,skowalskiego,,
FR,1106,restoracja,,
FR,1106,tiatr,,
FR,1106,skrenć,,
FR,1106,numier,,
IT,5112,ospital,idź prosto ulicą niską do szpitala proszę skręcić w prawo do szpitala idź prosto ulicą słowaksiego obok restauracji i szkoła i teatr idź prosto ulicą słowaksiego do sklepu na rogu skręcić w lewo idź prosto ulicą dobrej idź prosto ulicy dobrej i dom kowalski jest znajduje się na lewo numer ulicy dobrej numer 4,ich iś prosto ulico nisko za do ospital proszę idź proszę skręcić w prawo za oszpitalu i ichś prosto ulica ulico słowaksjego obok restaurasja i szkuła i teatsz ikś prosto ulico słowaksjego do sklepu na rogu skręcić w lewo i iś prosto ulico dobru iś prosto ulice dobru i dom kowalski jest znaduje szie na lewo numer ulicy dobry numer szteri
IT,5112,oszpitalu,,
IT,5112,ichś,,
IT,5112,słowaksjego,,
IT,5112,restaurasja,,
IT,5112,szkuła,,
IT,5112,teatsz,,
IT,5112,ikś,,
IT,5112,słowaksjego,,
IT,5112,znaduje,,
IT,5112,szie,,
IT,5112,szteri,,
IT,5101,sztery,ulicę dobrej 4 proszę iść prosto ulicą niską aż do szpitalu za szpitalem proszę skręcić w prawo to jest ulica juliuszka słowackiego a potem proszę iść prosto obok szpitala obok restauracji szkoły i proszę iść za skrzyżowaniem i proszę iść prosto obok teatru szkoły uniwersytetu i sklepu na sklepem proszę skręcić w lewo ulicą dobrej i proszę iść prosto za sklepem dom skowalski znajduje się tutaj,ulice dobre sztery proszę iś prosto ulicon niskon aż do szpitalu za szpitalem proszę skręcić w prawo to jest ulica juliuszka słowackiego i a potem proszę iś prosto obok szpitalem obok restauracji skoły i proszę iś za skirzo skirzowani i proszę iść obok prosto obok teatszem skołe uniwersyteczem i sklepem na sklepem proszę skręcicz w lewo ulicon dobron i proszę iść prosto za sklepen dom dom skowalski znajduje szię tutuj
IT,5101,ulicon,,
IT,5101,niskon,,
IT,5101,juliuszka,,
IT,5101,skoły,,
IT,5101,skirzo,,
IT,5101,skirzowani,,
IT,5101,teatszem,,
IT,5101,skołe,,
IT,5101,uniwersyteczem,,
IT,5101,skręcicz,,
IT,5101,ulicon,,
IT,5101,dobron,,
IT,5101,sklepen,,
IT,5101,skowalski,,
IT,5101,szię,,
IT,5101,tutuj,,
IT,5104,prożę,proszę iść prosto na ulicę niską za szpitalem skręcić w prawo proszę iść prosto na ulicę słowackiego obok restauracji obok szkoły obok szkoły obok teatru za sklepem proszę skręcić w lewo numer 4 znajduje się obok parku i sklepu na lewo,prożę iś prosto na ulicon niskon za szpitalem skręcić w prawo prożę iś prosto na ulica uli ulicon słowockiego obok restauracji obok szkoly obok teatr dza szklepe prożę skręcić w lewo numer sztery znaduje się obok parku i szklepe na lewo
IT,5104,ulicon,,
IT,5104,niskon,,
IT,5104,prożę,,
IT,5104,ulicon,,
IT,5104,słowockiego,,
IT,5104,szkoly,,
IT,5104,dza,,
IT,5104,szklepe,,
IT,5104,prożę,,
IT,5104,sztery,,
IT,5104,znaduje,,
IT,5104,szklepe,,
IT,5119,cztere,do ulicy dobrej cztere proszę iść prosto na ulicę niską i proszę skręcić w lewo do szpitala w prawo na ulicę słowackiego proszę iść prosto na ulicę słowackiego a do sklepu skręć się w lewo na ulicę dobrej i numer cztere jest na lewo tak na lewo,do ulicy dobre cztere tak proszę iś prosto na ulicon niskon i proszę skręcić w lewo a do szpitalu w prawo na ulicę słowackiego proszę iś prosto na ulicę słowackiego a do szklepu skręczić w lewo ulicon dobron i numer cztery jest na lewo tak na lewo
IT,5119,ulicon,,
IT,5119,niskon,,
IT,5119,szklepu,,
IT,5119,skręczić,,
IT,5119,ulicon,,
IT,5119,dobron,,
IT,5117,proszte,proszę iść prościej do szpitalu do szpitalu skręcić się w prawo na ulicę słowackiego a potem proszę iść prościej do ulicy dobrej 4 a potem proszę iść prościej do ulicy słowackiego a potem proszę iść prościej do ulicy słowackiego a potem proszę iść prościej do ulicy słowackiego,proszę iść proszte do szpitalu dze szpitalu skręciś skręcić wy wy prawo na ulica słowacjego a potem proszę iś prosto obok restauracji obok szyżowani obok teatr do sklep dze sklep skręcić w lewo ulica dobra a potem iś prosto i dom kowalski znaduje się na lewo
IT,5117,dze,,
IT,5117,skręciś,,
IT,5117,słowacjego,,
IT,5117,szyżowani,,
IT,5117,dze,,
IT,5117,znaduje,,
IT,5111,sztery,proszę i prosto ulica niska obok ospital na rogu proszę skręcić na prawo i proszę i prosto ulica słowa ciego a potem szoszowanie proszę i prosto ulica słowa ciego obok teatr obok szkole uniwersytecie proszę i prosto i na lewo sklep na rogu proszę skręcić na lewo i proszę i prosto ulica dobra numer cztery jest dom domu no del tre ty powiedziałaś del quattro allora szklep jest szklep,ulica dobra sztery proszę i prosto ulica niska obok oszpital na rou proszę skrencić na prawo i prosz proszę i prosto ulica słowaskiego a pote szyżowanie proszę i prosto ulica słowasjego obok teatre obok skole uniwersytecze proszę i prosto i na na lewo sklep sklep na rogu na roge na rogu proszę i skręcić na lewo proszę i prosto ulica dobra numer cztery est domu domu szklep est sklep
IT,5111,oszpital,,
IT,5111,rou,,
IT,5111,skrencić,,
IT,5111,prosz,,
IT,5111,słowaskiego,,
IT,5111,pote,,
IT,5111,szyżowanie,,
IT,5111,słowasjego,,
IT,5111,teatre,,
IT,5111,skole,,
IT,5111,uniwersytecze,,
IT,5111,roge,,
IT,5111,szklep,,
IT,5106,ulicon,jest to obok szkoły obok teatru skręcić w lewo jest do sklepu na ulicę dobrej dom znajduje się na lewo,proszę iś prosto ulicon niszkon az do spitalu do spitalu az do spitalu skręcić wy prawo ulica julusza słowackiego obok restauracja obok szyżowannem proszę iść prosto obok skoly obok teatr skręczić wy lewo ez do sklepu ul na ulica dobra dom jest znaduje szie na lewe
IT,5106,niszkon,,
IT,5106,spitalu,,
IT,5106,spitalu,,
IT,5106,spitalu,,
IT,5106,julusza,,
IT,5106,szyżowannem,,
IT,5106,skoly,,
IT,5106,skręczić,,
IT,5106,znaduje,,
IT,5106,szie,,
IT,5107,ulicon,tak proszę iść prosto na ulicę niską na rogu aż do szpitala za szpitalem skręcić w prawo i przekroczyć iść prosto na ulicę słowackiego obok restauracji obok biblioteki obok szkoły obok teatru i obok sklepu aż do sklepu skręcić w lewo na ulicę dobrej i na lewo znajdziesz dom 4,proszę iś prosto na ulicon niskon na rogu a aż do spitalem za oszpitalem skrenczić wy prawo i prokaczić iś prosto na ulicon słowackiego obok restauracja obok biblioteke obok skoły obok teatre i obok sklep aż do sklep aż do sklepe skrenczić w lewo na ulicon dobron i na lewo znaduj szie dom sztery
IT,5107,niskon,,
IT,5107,spitalem,,
IT,5107,oszpitalem,,
IT,5107,skrenczić,,
IT,5107,prokaczić,,
IT,5107,ulicon,,
IT,5107,biblioteke,,
IT,5107,skoły,,
IT,5107,teatre,,
IT,5107,sklepe,,
IT,5107,skrenczić,,
IT,5107,ulicon,,
IT,5107,dobron,,
IT,5107,znaduj,,
IT,5107,szie,,
IT,5107,sztery,,
IT,5113,prochon,tak proszę jechać po ulicę niżka do szpitala w szpitalu skręcisz na prawo w ulicę żuliuska słowackiego proszę jechać po szkleb do szklebu skręcisz na ulicę dobrej na lewo ulica dobrej 4 jest na lewo,tak proszę jedź prochon ulica niszka do szpitale wy szpitale skremcić na prawo w ulica żuliuska szlowatsjego wy proszę jedź prochon szklep do szklep skremcić na ulica dobra na lewo i ulica dobra sztere jest na pr na lewo
IT,5113,niszka,,
IT,5113,skremcić,,
IT,5113,żuliuska,,
IT,5113,szlowatsjego,,
IT,5113,prochon,,
IT,5113,szklep,,
IT,5113,szklep,,
IT,5113,skremcić,,
IT,5113,sztere,,
IT,5102,ulicon,przed księżowaniem proszę iść prosto też obok szkoły obok teatru aż do sklepu za sklepem proszę skręcić w lewo to jest ulica dobra proszę iść prosto ulicą na dobron i dom kowalski znajduje się na lewo,tak proszę iść prosto ulicon niskon za spitalem proszę skręcić w prawo to jest ulica juliusza słowackiego proszę iść prosto ulicon słowackiego obok restauracji przed krzyżowanie proszę iść prosto też obok szkoły obok teatru aż do sklepu za sklepiem proszę skręcić w lewo to jest ulica dobra proszę iść prosto ulicon dobron i dom kowal kowalski znajduje się na lewo
IT,5102,niskon,,
IT,5102,spitalem,,
IT,5102,ulicon,,
IT,5102,sklepiem,,
IT,5102,ulicon,,
IT,5102,dobron,,
IT,5116,ulicon,do szpitalu na rogu skręcić w prawo i proszę iść prosto ulicą słowackiego do sklepu na rogu skręcić w lewo i dom kowalski znajduje się na lewo numer 4,proszę iść prosto ulicon niskon do szpitalu na rogu skręcić w prawo i proszę iść prosto ulicą słowacjego do sklep na rogu skręcić w lewo i dom kowalski znajduje się na lewo numer cztery
IT,5116,niskon,,
IT,5116,słowacjego,,
IT,5115,spital,tak proszę iść prosto ulicą niską do szpitala za szpitala proszę skręcić w prawo ulicę słowackiego i potem proszę prosto o bok restauracja i a potem o bok teatr i o bok szkoła i uniwersytet i proszę prosto do ulicy dobrej i a potem proszę skręcić w prawo ulica dobra i na lewo to jest dom kowalski i numer 4,tak proszę iść prosto ulica niska do spital za spitala proszę skręć uli w prawo ulica slowakiego i a pote proszę prosto obok restauracja i a pote obok obok teatr i obok skola i uniwersitet i proszę jets prosto do ulica dobra i a pote proszę skręć w prawo ulica dobra i na lewo to jest dom kowaski i numer czteri
IT,5115,spitala,,
IT,5115,slowakiego,,
IT,5115,pote,,
IT,5115,pote,,
IT,5115,skola,,
IT,5115,uniwersitet,,
IT,5115,jets,,
IT,5115,pote,,
IT,5115,kowaski,,
IT,5115,czteri,,
IT,5118,ulicon,proszę iść prosto ulicą niską za szpitalu skręcić w prawo na ulicą juluszko-słowackiego obok restauracja obok szkoły obok teatru za szklepem po prostu skręcić w lewo ulica dobrej 4 znajduje się na lewo,proszę iść prosto ulicon niskon za szpitalu skręcić w prawo na ulicon juliuszko słowackiego obok restauracja obok szkoły obok teatre za szklepe szkręcić w lewo ulicon dobron ulica dobra numer cztery znajduje się na lewo
IT,5118,niskon,,
IT,5118,ulicon,,
IT,5118,juliuszko,,
IT,5118,teatre,,
IT,5118,szklepe,,
IT,5118,szkręcić,,
IT,5118,ulicon,,
IT,5118,dobron,,
NL,2103,ulicza,jest dom kowalski uliczka dobrej cztery proszę iść po stronie ulicy niski za szpital po stronie ulicy skręca-brawo po stronie ulicy jskowalskiego po stronie ulicy obok restauracja teatr szkleb i za szkleb po stronie skręca-lewo ulicy dobrej i dom kowalskiego jest na lewej stronie nr 4,jest dom kowalski ulicza dobra cztery proszę iść prosto ulicza niska i za szpital proszę skręca brawo i proszę iść prosto ulicza julia juliaszka skowalskiego i proszę prosto prosto prosto obok restoracja teatr szklep i za szklep proszę skręca a lewo ulicza dobra i dom kowalski jest a lewo nume sztery
NL,2103,ulicza,,
NL,2103,ulicza,,
NL,2103,juliaszka,,
NL,2103,skowalskiego,,
NL,2103,restoracja,,
NL,2103,szklep,,
NL,2103,szklep,,
NL,2103,ulicza,,
NL,2103,nume,,
NL,2103,sztery,,
NL,2119,uliczia,dzięki za obserwacie dzięki za obserwacie dzięki za obserwacie dziękuję bardzo dziękuję,uliczia dobre sztery proszę i prosto a ulicza niska za hospital proszę proszę skręcić na prawo ulicza julusza slo szlowakiego proszę proszę i prosto obok szkola obok juniwe uniweszitet obok sklep za sklep proszę skręcić na le w lewo a ulicza dobra ulicza dobra proszę skręcić w lewo tak
NL,2119,sztery,,
NL,2119,ulicza,,
NL,2119,hospital,,
NL,2119,ulicza,,
NL,2119,julusza,,
NL,2119,szlowakiego,,
NL,2119,szkola,,
NL,2119,juniwe,,
NL,2119,uniweszitet,,
NL,2119,ulicza,,
NL,2119,ulicza,,
NL,2115,spital,ulica dobrej proszę iść prosto z szpitalu proszę jechać na prawo ulica słowackiego proszę iść prosto za sklep proszę skręcić na lewo na ulicę dobrej,ulica dobra proszę iść prosto za spital proszę jegać na prawo a ulica julicza slowaczkiego proszę iść prosto za sklep proszę skręciak na lewo za ulica dobra
NL,2115,jegać,,
NL,2115,julicza,,
NL,2115,slowaczkiego,,
NL,2115,skręciak,,
NL,2111,restaracja,proszę iść prosto za szpitalem proszę skręcić w prawo proszę iść prosto prosto obok restauracja obok szkoły proszę iść prosto za sklepem proszę skręcić w lewo ulica dobra 4 jest na lewo,proszę iś prosto za szpitalem proszę skręcić w prawo proszę iść prosto prosto ob obok restaracja obok szkola proszę iść prosto za sklepem proszę skręcić w lewo ulica dobra ctery jest na lewo
NL,2111,szkola,,
NL,2111,ctery,,
NL,2109,szklep,proszę iść prosto ulica niska za szpital skręcić w prawo ulica julisza słowackiego proszę iść prosto obok szkoły obok szkoły obok teatru obok szkoły za szkołę proszę skręcić w lewo w lewo ulica dobra i tam jest dom kowalski na lewo,proszę iś prosto ulica niska za szpital skr skręcić w prawo ulica juliusza słowackiego proszę iść prosto obok szkoła obok uniwersytet obok teatr obok szklep za szklep proszę skręcić w lewo w lewo ulica dobra i tam jestem dom kowalski na lewo
NL,2109,szklep,,
NL,2113,ulicja,stacja prosi o ulicę niską sprawiedliwość prosi o skręcenie prawej ulicy o ulicy słowackiej proszę o skręcenie prawej ulicy proszę o ulicę szkoły uniwersytetu teatru sztabu proszę o skręcenie prawej ulicy o ulicy dobrej proszę o skręcenie prawej ulicy dobrej ja lewę dom kowalski,starsza proszę prosto ulicja niska ta szpital proszę skręcić prawo ulica dżulius dżuliusa szło szłowackiego proszę prosto obok szkola obok uniwersytet obok teatr obok szklep tza szklep proszę skręcić w lewo w lewo a uliczia dobra proszę prosto a lewo es dom kowalski
NL,2113,dżulius,,
NL,2113,dżuliusa,,
NL,2113,szłowackiego,,
NL,2113,szkola,,
NL,2113,szklep,,
NL,2113,tza,,
NL,2113,szklep,,
NL,2113,uliczia,,
NL,2120,ulicza,proszę jechać prosto ulica nyska proszę jechać prosto obok szpitalu proszę skręcić w prawo ulica nazywa się juliusza słowackiego proszę jechać prosto proszę jechać prosto obok restauracji obok biblioteki teatru obok sklepu za sklepem proszę skręcić w lewo ulica nazywa się ulica dobra proszę jechać prosto proszę jechać prosto prosto dom kowalski jest na lewo,proszę jechać prosto ulicza niska proszę jechać prosto obok szpitalu za szpitalu proszę skrędzić w prawo ulicza nazywa się juliusza słowaczkiego proszę jechać prosto prosto prosto prosto obok restoracja obok biblioteka teatr obok sklep za sklep za sklepem proszę skrędzić w lewo ulicza nazywa się ulicza dobra prosto dom kowalski jest na lewo
NL,2120,skrędzić,,
NL,2120,ulicza,,
NL,2120,słowaczkiego,,
NL,2120,restoracja,,
NL,2120,skrędzić,,
NL,2120,ulicza,,
NL,2120,ulicza,,
NL,2105,staczja,do stacji proszę iść prosto obok szpital proszę skręcić w prawo ulica słowackiego proszę iść prosto obok restauracja obok szkoły i za szkleb proszę skręcić w lewo ulica dobra i dom ulica dobrej 4 jest na lewo,do staczja proszę iść prosto obok szpital proszę skręcić w prawo ulica słowackiego prosę proszę jiść prosto obok restoracja obok szkoła i za szklep proszę skręcić w lewo ulica dobra i dom ulica dobra cztery jest na lewo
NL,2105,prosę,,
NL,2105,jiść,,
NL,2105,restoracja,,
NL,2105,szklep,,
NL,2117,ulicza,proszę iść prosto za ulicą niżka za ospital skręć na prawo na ulicę juliusza słowackiego proszę iść prosto obok restauracji obok teatru obok sklepu za sklep skręć na lewo na ulicę dobrej i ulicę dobrej 4 ulicę słowackiego na lewo,proszę iś prosto za ulicza niszka za ospital skręcza na prawo ulicza juliusza slowakiego proszę iś prosto obok restoracja obok teatr obok sklep za sklep skręcza na lewo ulicza dobra i ulicza dobra sztery es na lewo
NL,2117,niszka,,
