pays,apprenant,mot (interlangue),mot (automatique),transcription automatique,transcription manuelle,erreur de déclinaison?,erreur de prononciation?
FR,1120,ulisa,ulica,tak po prostu ulica niska obok szpitala po prostu skroczyć na na prawo pieśń ulica skręcić na prawo czy na lewo skręcić na prawo ulica juliesa i pieśń po prostu obok restauracja obok teatr obok szkoła uniwersytetowa i skroczyć na lewo ulica dobra pieśń po prostu i skroczyć na lewo dobra cztery do do do do do ulica dobra cztery jest tak muszę skręcić na lewo i ulica dobra cztery jest gdzie się znajduje jest na lewo na lewo,tak prosto ulisa niska obok ospital prosto i skroczie na na grawo piese ulisa skrecić na prawo ulisa żuliesa i pies pro proto proto ubak ubok restorancja ubok teatr i ubok skola juwersytet i skroczie na lewo ulisa dobra pies prosto i skroczie na lewo dobra dobra czery do es na dona la dona jest na lewo,,oui
FR,1120,ospital,szpitala,,,oui,oui
FR,1120,skroczie,skroczyć,,,,oui
FR,1120,grawo,prawo,,,,oui
FR,1120,piese,pieśń,,,,oui
FR,1120,ulisa,ulica,,,,oui
FR,1120,skrecić,skręcić,,,,oui
FR,1120,ulisa,ulica,,,,oui
FR,1120,żuliesa,juliesa,,,,oui
FR,1120,ubak,obok,,,,oui
FR,1120,ubok,obok,,,,oui
FR,1120,restorancja,restauracja,,,oui,oui
FR,1120,ubok,obok,,,,oui
FR,1120,ubok,obok,,,,oui
FR,1120,skola,szkoła,,,oui,oui
FR,1120,juwersytet,uniwersytetowa,,,oui,oui
FR,1120,skroczie,skroczyć,,,,oui
FR,1120,ulisa,ulica,,,,oui
FR,1120,skroczie,skroczyć,,,,oui
FR,1120,czery,cztery,,,,oui
FR,1104,niskom,miską,proszę iść prosto ulicę miską i za szpitalu proszę skręcić w prawo ulicę juliuska słowackiego a potem proszę iść prosto prosto obok teatru obok szkoły i za sklepem proszę iść w lewo ulicę dobrą i tutaj znajdujecie dobre 4 na lewo,proszę idź prosto ulice niskom i za szpitalu proszę skrencić w prawo ulice juliuska słowackiego i a potem proszę idź prosto prosto obok teatru obot szkoły i za sklepem proszę idź w lewo ulice dobron i tutaj znaduje cię dobre cztery na lewo,,oui
FR,1104,skrencić,skręcić,,,,oui
FR,1104,juliuska,juliuska,,,,oui
FR,1104,obot,obok,,,,oui
FR,1104,dobron,dobrą,,,,oui
FR,1104,znaduje,znajdujecie,,,,oui
FR,1110,niszka,niżka,tak tak uwaga uwaga proszę iść prosto to jest ulica niżka to jest to jest proszę iść prosto za hospitale stręczysz w prawo to jest ulica juliusza słowackiego proszę iść prosto prosto bądź w restauracji bądź w sklepie bądź w teatrze prosto prosto i za sklepem proszę proszę skręcić w prawo i dom znajduje się w numer 4 ulicy dobrej,tak tak waga waga proszę idź prosto to jest ulica niszka to jest to to proszę iść prosto za ospitalem szkrencisz w prawo to jest ulica julius juliusza słowackiego proszę idź prosto prosto obok restorauk restoraucje obok skała obok teatr prosto prosto i za sklepem proszę ploszę skrencisz w lewo i dom znazduje się numer sztery ulice dobre,oui,oui
FR,1110,ospitalem,hospitale,,,,oui
FR,1110,szkrencisz,stręczysz,,,,oui
FR,1110,julius,-,,,oui,oui
FR,1110,restorauk,-,,,oui,oui
FR,1110,restoraucje,restauracji,,,oui,oui
FR,1110,ploszę,proszę,,,,
FR,1110,skrencisz,skręcić,,,,oui
FR,1110,znazduje,znajduje,,,,oui
FR,1110,sztery,4,,,,oui
FR,1119,skrencić,skręcić,idź prosto na ulicę niska obok szpitala skręcić w prawo skręcić w prawo ok na ulicę jóliuska słowackiego idź prosto prosto prosto obok restauracja teatr szkoły uniwersytet obok sklepu skręcić w lewo na ulicę dobrą dom kowalskiego jest na lewo,idź prosto na ulica niska obok spita szpitalem skrencić w prosto na w prawo prawo na ulica juliuska słowackiego idź prosto prosto prosto obok restora restoracja teatr skoly uniwersytet obok sklep sklep skrencić w lewo na ulica dobry dom kowalskiego jest na lewo,,oui
FR,1119,juliuska,jóliuska,,,,oui
FR,1119,restora,-,,,,
FR,1119,restoracja,restauracja,,,oui,oui
FR,1119,skoly,szkoły,,,,oui
FR,1119,skrencić,skręcić,,,,oui
FR,1108,szken,-,dobrej 4 proszę iść prosto ulica niska prosto prosto szkęcisz na prawo ulica juliusza słowackiego dobrze ulica juliusza słowackiego dobrze idź prosto obok szkoły obok uniwersytetu proszę iść prosto i ulica dobra skręcisz na lewo znajdujesz się dom kowalska,dobrej cztery proszę idź prosto ulika niska prosto prosto szken szken szkensiś na prawo ulica dżoliesa slołackiego idź prosto obok skola obok uniwersitet proszę idź prosto i ulika dobra skręcisz na lewo najduje się dom kowalska,,oui
FR,1108,szken,-,,,,
FR,1108,szkensiś,szkęcisz,,,,oui
FR,1108,dżoliesa,juliusza,,,,
FR,1108,slołackiego,słowackiego,,,,oui
FR,1108,skola,szkoły,,,oui,oui
FR,1108,uniwersitet,uniwersytetu,,,oui,oui
FR,1108,najduje,znajdujesz,,,,oui
FR,1103,ulicza,ulicą,idź prosto za ulicą niską i za hospitale skręcić na prawo za ulicą żuliuska słowackiego idź prosto prosto i za sklep skręcić na lewo za ulicą dobrej 4,idź prosto za ulicza niska i za ospitalem skręcić na prawo za ulisza żuliuska slowakiego iść prosto prosto i za skret skręcić na lewo za ulicza dobra numer sztery,,oui
FR,1103,ospitalem,hospitale,,,,oui
FR,1103,ulisza,ulicą,,,oui,oui
FR,1103,żuliuska,żuliuska,,,,oui
FR,1103,slowakiego,słowackiego,,,,oui
FR,1103,skret,sklep,,,oui,oui
FR,1103,ulicza,ulicą,,,,oui
FR,1103,sztery,4,,,,oui
FR,1116,skre,-,skręcisz prawo do szpitala skręcisz ulicę juliuska skołaskiego proszę iść prosto obok teatru szkole a potem skręcisz w lewo za sklepem skręcisz w lewo ulicę dobrej skręcisz w lewo 4 ulicy dobrej skręcisz w lewo 4 ulicy dobrej skręcisz w lewo 4 ulicy dobrej znajdujesz się w domu skołalskim,skre skrencisz a prawo zły szpitalu skrencisz ulicze ju juliuska skołaskiego proszę idź prosto prosto obok teatru skuole a potem skręcisz a skrencisz w lewo złe sklepu spren skrencisz w lewo ulicze dobre skrencisz w lewo scztery ulisze dobre znaduje sie dom skowalski,,
FR,1116,skrencisz,skręcisz,,,,oui
FR,1116,skrencisz,skręcisz,,,,oui
FR,1116,ulicze,ulicę,,,,oui
FR,1116,juliuska,juliuska,,,,oui
FR,1116,skołaskiego,skołaskiego,,,,oui
FR,1116,skuole,szkole,,,oui,oui
FR,1116,skrencisz,skręcisz,,,,oui
FR,1116,spren,-,,,,oui
FR,1116,skrencisz,skręcisz,,,,oui
FR,1116,ulicze,ulicy,,,,oui
FR,1116,skrencisz,skręcisz,,,,oui
FR,1116,scztery,4,,,,oui
FR,1116,ulisze,ulicy,,,oui,oui
FR,1116,znaduje,znajdujesz,,,,oui
FR,1116,sie,się,,,,oui
FR,1116,skowalski,skołalskim,,,oui,oui
FR,1113,poszę,proszę,proszę iść prosto na ulicę niska tak za szpitalem skręcisz prawo na ulicę józefowskiego proszę iść prosto obok restauracji obok teatru i obok sklepu za sklepem za sklepem skręcisz w lewo na ulicę dobra i znajdujesz się na lewo tak na lewo tak na ulicy dobrej 4 na lewo numer 4 ulica dobra,poszę idź prosto na ulica niska za szpitalem skrencisz prawo na ulica dżulieska skowalskiego poszę idź posto obok restoraczje obok teatry i obok sklepem za sklebe za sklepem zna skrencisz w ljewo na ulica dobra i znaduje się na lewo nie tak numer cztery ulica dobra,,oui
FR,1113,skrencisz,skręcisz,,,,oui
FR,1113,dżulieska,-,,,,oui
FR,1113,skowalskiego,józefowskiego,,,,oui
FR,1113,poszę,proszę,,,,oui
FR,1113,posto,prosto,,,,oui
FR,1113,restoraczje,restauracji,,,oui,oui
FR,1113,sklebe,sklepem,,,oui,oui
FR,1113,skrencisz,skręcisz,,,,oui
FR,1113,ljewo,lewo,,,,oui
FR,1113,znaduje,znajdujesz,,,,oui
FR,1118,niszka,niżka,proszę iść prosto ulicę niżka na szpital obok szpital proszę skręcić prawo ulicę juleska słowackiego proszę iść prosto ulicę juleska słowackiego na sklep proszę skręcić na lewo ulicę dobra proszę iść prosto ulicę dobra obok sklep i obok park znajdujesz się na lewo ulicę dobra nr 3,proszę iść prosto ulika niszka zna oszpital obok oszpital proszę skreciś prawo ulika juleska słowaskiego proszę iś prosto ulika julieska słowaskiego zna sklept proszę skrenciśt na lewo ulika dobra hasta proszę iść prosto ulika dobra obok sklept i obok park znaduje sie na lewo ulika dobra numero czery,oui,oui
FR,1118,oszpital,szpital,,,oui,oui
FR,1118,oszpital,szpital,,,oui,oui
FR,1118,skreciś,skręcić,,,,oui
FR,1118,juleska,juleska,,,,oui
FR,1118,słowaskiego,słowackiego,,,,oui
FR,1118,julieska,juleska,,,,oui
FR,1118,słowaskiego,słowackiego,,,,oui
FR,1118,sklept,sklep,,,oui,oui
FR,1118,skrenciśt,skręcić,,,,oui
FR,1118,sklept,sklep,,,oui,oui
FR,1118,znaduje,znajdujesz,,,,oui
FR,1118,sie,się,,,,oui
FR,1118,numero,nr,,,,oui
FR,1118,czery,3,,,,oui
FR,1117,spital,szpitalu,jestem blisko ulicy niska i mieszkam w szpitalu więc nie jestem w porządku przeszłam proces i proces proces proces i obok sklepu na lewo na ulicę dobrą i na lewo jest nr 4,iszcze prosto na ulica niska i obok spital cienci na prawo proszę iścz proce i proste proste proste i obok sklept cz czrenczisz na lewo a na ulica dobra i an na lewo jest numer cztery,oui,oui
FR,1117,cienci,więc,,,,
FR,1117,iścz,-,,,,oui
FR,1117,sklept,sklepu,,,oui,oui
FR,1117,czrenczisz,-,,,,oui
FR,1101,jestam,jestem,jestem szczęśliwa idź prosto na ulicę niską obok szpitala stręcz prawo wyprawo na ulicę huliuckiego-skłowienkiego idź prosto prosto prosto obok sklepu stręcz w lewo i znajdziesz dom na ulicy dobrej nr 4,jestam stanczy idź presto na ulica niska obok szpitalu strencić w prawo wy prawo na ulica huliucka sklowiańkiego idź prosto prosto prosto na obok sklep stręcić w lewo i znaduje się dom na ulic ulicy dobre numer cztery,,oui
FR,1101,stanczy,szczęśliwa,,,,oui
FR,1101,strencić,stręcz,,,,oui
FR,1101,huliucka,-,,,,oui
FR,1101,sklowiańkiego,huliuckiego-skłowienkiego,,,,oui
FR,1101,stręcić,stręcz,,,,oui
FR,1101,znaduje,znajdziesz,,,,oui
FR,1115,hospitalu,ospitalem,tak proszę iść prosto ulica niska za ospitalem skręcisz na prawo proszę iść prosto ulica żuliuska słowackiego obok ospitalu obok restauracja obok teatru obok uniwersytetu obok sklepu za sklep proszę skręcisz na lewo ulica dobra proszę iść prosto i znajdujecie numer czery,tak proszę iść pro proszę idź prosto ulica niska za hospitalu skręcisz na prawo proszę idź prosto ulica żu żuliuska so sowaskiega obuk ospitalu obok restau restauracja obut teatru obut uniwersiteć obuk sklepts za sklepts proszę skrencisz na lewo ulica dobra proszę iś prosto i naduje cie numer czery numer czery,oui,oui
FR,1115,żu,-,,,,oui
FR,1115,żuliuska,żuliuska,,,,oui
FR,1115,sowaskiega,słowackiego,,,,oui
FR,1115,obuk,obok,,,,oui
FR,1115,ospitalu,ospitalu,,,,oui
FR,1115,restau,-,,,,oui
FR,1115,obut,obok,,,,oui
FR,1115,obut,obok,,,,oui
FR,1115,uniwersiteć,uniwersytetu,,,oui,oui
FR,1115,obuk,obok,,,,oui
FR,1115,sklepts,sklepu,,,oui,oui
FR,1115,sklepts,sklep,,,oui,oui
FR,1115,skrencisz,skręcisz,,,,oui
FR,1115,naduje,znajdujecie,,,,oui
FR,1115,czery,czery,,,,oui
FR,1115,czery,-,,,,oui
FR,1112,juliuska,juliuska,proszę iść prosto na ulicę niską za szpitalem skręcić w prawo na ulicę juliuska słowackiego proszę iść prosto za sklepem skręcić w lewo na ulicę dobrej i dom jest na lewo na lewo tak na lewo,proszę iść prosto na ulica niska za szpitalu skręcić w prawo na ulica juliuska slowackiego proszę iść prosto za sklepu skręcić w lewo na ulica dobra i jest i dom jest na lewo na lewo,,oui
FR,1112,slowackiego,słowackiego,,,,oui
FR,1106,żuliusa,juliusza,może iść prosto na ulicę niską ze szpitala skręcić na prawo na ulicę juliusza skłodowskiego iść prosto prosto prosto prosto obok restauracja obok teatr obok sklep tak ze sklepu skręcić na lewo na ulicę dobrej i nr 4 jest na lewo,może iść prosto na ulica niska za szpitalu skręć na prawo na ulica żuliusa sk skowalskiego idź prosto prosto prosto prosto obok restoracja obok tiatr obok sklep za sklepu skrenć na lewo ulica dobra i numier cztery jest na lewo,,oui
FR,1106,sk,-,,,,
FR,1106,skowalskiego,skłodowskiego,,,,oui
FR,1106,restoracja,restauracja,,,oui,oui
FR,1106,tiatr,teatr,,,oui,oui
FR,1106,skrenć,skręcić,,,,oui
FR,1106,numier,nr,,,,oui
IT,5112,ospital,szpitala,idź prosto ulicą niską do szpitala proszę skręcić w prawo do szpitala idź prosto ulicą słowaksiego obok restauracji i szkoła i teatr idź prosto ulicą słowaksiego do sklepu na rogu skręcić w lewo idź prosto ulicą dobrej idź prosto ulicy dobrej i dom kowalski jest znajduje się na lewo numer ulicy dobrej numer 4,ich iś prosto ulico nisko za do ospital proszę idź proszę skręcić w prawo za oszpitalu i ichś prosto ulica ulico słowaksjego obok restaurasja i szkuła i teatsz ikś prosto ulico słowaksjego do sklepu na rogu skręcić w lewo i iś prosto ulico dobru iś prosto ulice dobru i dom kowalski jest znaduje szie na lewo numer ulicy dobry numer szteri,oui,oui
IT,5112,oszpitalu,szpitala,,,oui,oui
IT,5112,ichś,idź,,,,oui
IT,5112,słowaksjego,słowaksiego,,,,oui
IT,5112,restaurasja,restauracji,,,oui,oui
IT,5112,szkuła,szkoła,,,oui,oui
IT,5112,teatsz,teatr,,,oui,oui
IT,5112,ikś,idź,,,,oui
IT,5112,słowaksjego,słowaksiego,,,,oui
IT,5112,znaduje,znajduje,,,,oui
IT,5112,szie,się,,,,oui
IT,5112,szteri,4,,,,oui
IT,5101,sztery,4,ulicę dobrej 4 proszę iść prosto ulicą niską aż do szpitalu za szpitalem proszę skręcić w prawo to jest ulica juliuszka słowackiego a potem proszę iść prosto obok szpitala obok restauracji szkoły i proszę iść za skrzyżowaniem i proszę iść prosto obok teatru szkoły uniwersytetu i sklepu na sklepem proszę skręcić w lewo ulicą dobrej i proszę iść prosto za sklepem dom skowalski znajduje się tutaj,ulice dobre sztery proszę iś prosto ulicon niskon aż do szpitalu za szpitalem proszę skręcić w prawo to jest ulica juliuszka słowackiego i a potem proszę iś prosto obok szpitalem obok restauracji skoły i proszę iś za skirzo skirzowani i proszę iść obok prosto obok teatszem skołe uniwersyteczem i sklepem na sklepem proszę skręcicz w lewo ulicon dobron i proszę iść prosto za sklepen dom dom skowalski znajduje szię tutuj,,oui
IT,5101,ulicon,ulicą,,,oui,oui
IT,5101,niskon,niską,,,,oui
IT,5101,juliuszka,juliuszka,,,,oui
IT,5101,skoły,szkoły,,,,oui
IT,5101,skirzo,-,,,,oui
IT,5101,skirzowani,skrzyżowaniem,,,,oui
IT,5101,teatszem,teatru,,,oui,oui
IT,5101,skołe,szkoły,,,oui,oui
IT,5101,uniwersyteczem,uniwersytetu,,,oui,oui
IT,5101,skręcicz,skręcić,,,,oui
IT,5101,ulicon,ulicą,,,oui,oui
IT,5101,dobron,dobrej,,,,oui
IT,5101,sklepen,sklepem,,,,oui
IT,5101,skowalski,skowalski,,,oui,oui
IT,5101,szię,się,,,,oui
IT,5101,tutuj,tutaj,,,,oui
IT,5104,prożę,proszę,proszę iść prosto na ulicę niską za szpitalem skręcić w prawo proszę iść prosto na ulicę słowackiego obok restauracji obok szkoły obok szkoły obok teatru za sklepem proszę skręcić w lewo numer 4 znajduje się obok parku i sklepu na lewo,prożę iś prosto na ulicon niskon za szpitalem skręcić w prawo prożę iś prosto na ulica uli ulicon słowockiego obok restauracji obok szkoly obok teatr dza szklepe prożę skręcić w lewo numer sztery znaduje się obok parku i szklepe na lewo,,oui
IT,5104,ulicon,ulicę,,,oui,oui
IT,5104,niskon,niską,,,,oui
IT,5104,prożę,proszę,,,,oui
IT,5104,ulicon,ulicę,,,oui,oui
IT,5104,słowockiego,słowackiego,,,,oui
IT,5104,szkoly,szkoły,,,,oui
IT,5104,dza,za,,,,oui
IT,5104,szklepe,sklepem,,,oui,oui
IT,5104,prożę,proszę,,,,oui
IT,5104,sztery,4,,,,oui
IT,5104,znaduje,znajduje,,,,oui
IT,5104,szklepe,sklepu,,,oui,oui
IT,5119,cztere,cztere,do ulicy dobrej cztere proszę iść prosto na ulicę niską i proszę skręcić w lewo do szpitala w prawo na ulicę słowackiego proszę iść prosto na ulicę słowackiego a do sklepu skręć się w lewo na ulicę dobrej i numer cztere jest na lewo tak na lewo,do ulicy dobre cztere tak proszę iś prosto na ulicon niskon i proszę skręcić w lewo a do szpitalu w prawo na ulicę słowackiego proszę iś prosto na ulicę słowackiego a do szklepu skręczić w lewo ulicon dobron i numer cztery jest na lewo tak na lewo,,oui
IT,5119,ulicon,ulicę,,,oui,oui
IT,5119,niskon,niską,,,,oui
IT,5119,szklepu,sklepu,,,,oui
IT,5119,skręczić,skręć,,,,oui
IT,5119,ulicon,ulicę,,,oui,oui
IT,5119,dobron,dobrej,,,,oui
IT,5117,proszte,prościej,proszę iść prościej do szpitalu do szpitalu skręcić się w prawo na ulicę słowackiego a potem proszę iść prościej do ulicy dobrej 4 a potem proszę iść prościej do ulicy słowackiego a potem proszę iść prościej do ulicy słowackiego a potem proszę iść prościej do ulicy słowackiego,proszę iść proszte do szpitalu dze szpitalu skręciś skręcić wy wy prawo na ulica słowacjego a potem proszę iś prosto obok restauracji obok szyżowani obok teatr do sklep dze sklep skręcić w lewo ulica dobra a potem iś prosto i dom kowalski znaduje się na lewo,,oui
IT,5117,dze,do,,,,oui
IT,5117,skręciś,-,,,,oui
IT,5117,słowacjego,słowackiego,,,,oui
IT,5117,szyżowani,-,,,oui,oui
IT,5117,dze,-,,,,oui
IT,5117,znaduje,-,,,,oui
IT,5111,sztery,-,proszę i prosto ulica niska obok ospital na rogu proszę skręcić na prawo i proszę i prosto ulica słowa ciego a potem szoszowanie proszę i prosto ulica słowa ciego obok teatr obok szkole uniwersytecie proszę i prosto i na lewo sklep na rogu proszę skręcić na lewo i proszę i prosto ulica dobra numer cztery jest dom domu no del tre ty powiedziałaś del quattro allora szklep jest szklep,ulica dobra sztery proszę i prosto ulica niska obok oszpital na rou proszę skrencić na prawo i prosz proszę i prosto ulica słowaskiego a pote szyżowanie proszę i prosto ulica słowasjego obok teatre obok skole uniwersytecze proszę i prosto i na na lewo sklep sklep na rogu na roge na rogu proszę i skręcić na lewo proszę i prosto ulica dobra numer cztery est domu domu szklep est sklep,,oui
IT,5111,oszpital,ospital,,,oui,oui
IT,5111,rou,rogu,,,,oui
IT,5111,skrencić,skręcić,,,,oui
IT,5111,prosz,-,,,,oui
IT,5111,słowaskiego,słowa ciego,,,,oui
IT,5111,pote,potem,,,,oui
IT,5111,szyżowanie,szoszowanie,,,oui,oui
IT,5111,słowasjego,słowa ciego,,,,oui
IT,5111,teatre,teatr,,,oui,
IT,5111,skole,szkole,,,oui,oui
IT,5111,uniwersytecze,uniwersytecie,,,oui,oui
IT,5111,roge,-,,,,oui
IT,5111,szklep,szklep,,,,oui
IT,5106,ulicon,-,jest to obok szkoły obok teatru skręcić w lewo jest do sklepu na ulicę dobrej dom znajduje się na lewo,proszę iś prosto ulicon niszkon az do spitalu do spitalu az do spitalu skręcić wy prawo ulica julusza słowackiego obok restauracja obok szyżowannem proszę iść prosto obok skoly obok teatr skręczić wy lewo ez do sklepu ul na ulica dobra dom jest znaduje szie na lewe,oui,oui
IT,5106,niszkon,-,,,,oui
IT,5106,spitalu,-,,,oui,oui
IT,5106,spitalu,-,,,oui,oui
IT,5106,spitalu,-,,,oui,oui
IT,5106,julusza,-,,,,oui
IT,5106,szyżowannem,-,,,,oui
IT,5106,skoly,szkoły,,,,oui
IT,5106,skręczić,skręcić,,,,oui
IT,5106,znaduje,znajduje,,,,oui
IT,5106,szie,się,,,,oui
IT,5107,ulicon,ulicę,tak proszę iść prosto na ulicę niską na rogu aż do szpitala za szpitalem skręcić w prawo i przekroczyć iść prosto na ulicę słowackiego obok restauracji obok biblioteki obok szkoły obok teatru i obok sklepu aż do sklepu skręcić w lewo na ulicę dobrej i na lewo znajdziesz dom 4,proszę iś prosto na ulicon niskon na rogu a aż do spitalem za oszpitalem skrenczić wy prawo i prokaczić iś prosto na ulicon słowackiego obok restauracja obok biblioteke obok skoły obok teatre i obok sklep aż do sklep aż do sklepe skrenczić w lewo na ulicon dobron i na lewo znaduj szie dom sztery,oui,oui
IT,5107,niskon,niską,,,,oui
IT,5107,spitalem,szpitala,,,,oui
IT,5107,oszpitalem,szpitalem,,,,oui
IT,5107,skrenczić,skręcić,,,,oui
IT,5107,prokaczić,przekroczyć,,,,oui
IT,5107,ulicon,ulicę,,,oui,oui
IT,5107,biblioteke,biblioteki,,,oui,
IT,5107,skoły,szkoły,,,,oui
IT,5107,teatre,teatru,,,oui,
IT,5107,sklepe,sklepu,,,oui,oui
IT,5107,skrenczić,skręcić,,,,oui
IT,5107,ulicon,ulicę,,,oui,oui
IT,5107,dobron,dobrej,,,,oui
IT,5107,znaduj,znajdziesz,,,,oui
IT,5107,szie,-,,,,oui
